id,name,launch_date,cores,threads,bus_speed,base_frequency,turbo_frequency,cache_size,max_memory_size,max_temp
1,Intel Celeron G1101,2/1/2010,2,2,2.5,2260,,2048,17175674.88,
2,Intel Core i7-3960X,11/1/2011,6,12,5,3300,3900,15360,67108864,66.8
3,Intel Core i7-3930K,11/1/2011,6,12,5,3200,3800,12288,67350036.48,66.8
4,Intel Core i7-3820,2/1/2012,4,8,5,3600,3800,10240,67350036.48,66.8
5,Intel Core i7-3920XM,5/1/2012,4,8,5,2900,3800,8192,33554432,105
6,Intel Core i7-3940XM,8/1/2012,4,8,5,3000,3900,8192,33554432,105
7,Intel Core i7-3970X,11/1/2012,6,12,5,3500,4000,15360,67580723.2,66.8
8,Intel Celeron G1610,2/1/2013,2,2,5,2600,,2048,33554432,
9,Intel Celeron G1620,2/1/2013,2,2,5,2700,,2048,33554432,
10,Intel Celeron G1610T,2/1/2013,2,2,5,2300,,2048,33554432,
11,Intel Core i7-4702MQ,5/1/2013,4,8,5,2200,3200,6144,33554432,100
12,Intel Core i7-4765T,5/1/2013,4,8,5,2000,3000,8192,33554432,66.35
13,Intel Core i7-4770,5/1/2013,4,8,5,3400,3900,8192,33554432,72.72
14,Intel Core i7-4770K,5/1/2013,4,8,5,3500,3900,8192,33554432,72.72
15,Intel Core i7-4770S,5/1/2013,4,8,5,3100,3900,8192,33554432,71.35
16,Intel Core i7-4770T,5/1/2013,4,8,5,2500,3700,8192,33554432,71.45
17,Intel Core i7-4700MQ,5/1/2013,4,8,5,2400,3400,6144,33554432,100
18,Intel Core i7-4900MQ,5/1/2013,4,8,5,2800,3800,8192,33554432,100
19,Intel Core i7-4700HQ,5/1/2013,4,8,5,2400,3400,6144,33554432,100
20,Intel Core i7-4702HQ,5/1/2013,4,8,5,2200,3200,6144,33554432,100
21,Intel Core i5-4570R,5/1/2013,4,4,5,2700,3200,4096,33554432,
22,Intel Core i5-4670R,5/1/2013,4,4,5,3000,3700,4096,33554432,
23,Intel Core i5-4430,5/1/2013,4,4,5,3000,3200,6144,33554432,72.72
24,Intel Core i5-4570TE,5/1/2013,2,4,5,2700,3300,4096,33554432,66.35
25,Intel Core i5-4670T,5/1/2013,4,4,5,2300,3300,6144,33554432,71.45
26,Intel Core i5-4430S,5/1/2013,4,4,5,2700,3200,6144,33554432,71.35
27,Intel Core i5-4670S,5/1/2013,4,4,5,3100,3800,6144,33554432,71.35
28,Intel Core i5-4670K,5/1/2013,4,4,5,3400,3800,6144,33554432,72.72
29,Intel Core i5-4570,5/1/2013,4,4,5,3200,3600,6144,33554432,72.72
30,Intel Core i5-4570S,5/1/2013,4,4,5,2900,3600,6144,33554432,71.35
31,Intel Core i5-4570T,5/1/2013,2,4,5,2900,3600,4096,33554432,66.35
32,Intel Core i5-4670,5/1/2013,4,4,5,3400,3800,6144,33554432,72.72
33,Intel Core i7-4800MQ,5/1/2013,4,8,5,2700,3700,6144,33554432,100
34,Intel Core i7-4700EQ,5/1/2013,4,8,5,2400,3400,6144,33554432,100
35,Intel Core i7-4770TE,5/1/2013,4,8,5,2300,3300,8192,33554432,71.45
36,Intel Core i7-4770R,5/1/2013,4,8,5,3200,3900,6144,33554432,
37,Intel Core i7-4930MX,5/1/2013,4,8,5,3000,3900,8192,33554432,100
